train_test_smiles_leakage,train_test_protein_leakage,train_val_smiles_leakage,train_val_protein_leakage,test_val_smiles_leakage,test_val_protein_leakage,Split method,Fold_number
0.088,0.108,0.274,0.221,0.032,0.031,C1e,0
0.099,0.113,0.261,0.175,0.02,0.024,C1e,1
0.097,0.117,0.224,0.181,0.022,0.022,C1e,2
0.091,0.108,0.345,0.242,0.029,0.029,C1e,3
0.103,0.123,0.166,0.143,0.016,0.016,C1e,4
0.186,0.12,0.246,0.216,0.059,0.033,I1e,0
0.197,0.125,0.221,0.198,0.048,0.028,I1e,1
0.179,0.123,0.28,0.225,0.066,0.03,I1e,2
0.21,0.13,0.178,0.161,0.035,0.023,I1e,3
0.208,0.133,0.166,0.163,0.037,0.021,I1e,4
0.086,0.023,0.185,0.166,0.015,0.004,C2,0
0.075,0.019,0.344,0.268,0.026,0.007,C2,1
0.072,0.019,0.36,0.278,0.029,0.007,C2,2
0.085,0.022,0.219,0.196,0.016,0.004,C2,3
0.086,0.023,0.186,0.173,0.015,0.003,C2,4
0.26,0.04,0.2,0.132,0.064,0.011,C1f,0
0.259,0.04,0.202,0.13,0.065,0.011,C1f,1
0.259,0.041,0.202,0.133,0.065,0.01,C1f,2
0.257,0.042,0.207,0.138,0.066,0.01,C1f,3
0.259,0.042,0.202,0.128,0.065,0.009,C1f,4
0.259,0.112,0.204,0.123,0.066,0.026,I1f,0
0.258,0.11,0.207,0.122,0.067,0.028,I1f,1
0.262,0.11,0.198,0.119,0.063,0.028,I1f,2
0.259,0.108,0.203,0.118,0.065,0.029,I1f,3
0.261,0.111,0.201,0.118,0.064,0.027,I1f,4
0.262,0.099,0.2,0.117,0.065,0.025,ESP,0
0.262,0.098,0.202,0.117,0.066,0.025,ESP,1
0.261,0.099,0.203,0.12,0.066,0.025,ESP,2
0.262,0.099,0.202,0.115,0.066,0.024,ESP,3
0.263,0.099,0.2,0.121,0.065,0.024,ESP,4
0.253,0.103,0.209,0.13,0.065,0.027,ESPC2,0
0.256,0.103,0.202,0.124,0.062,0.027,ESPC2,1
0.254,0.104,0.208,0.128,0.064,0.026,ESPC2,2
0.255,0.107,0.204,0.125,0.063,0.023,ESPC2,3
0.255,0.103,0.205,0.129,0.063,0.027,ESPC2,4
